circuit name,latitude,longitude,fastest lap speed
Valencia Street Circuit,39.4589,-0.331667,193.606
Valencia Street Circuit,39.4589,-0.331667,194.397
Valencia Street Circuit,39.4589,-0.331667,195.469
Valencia Street Circuit,39.4589,-0.331667,193.933
Valencia Street Circuit,39.4589,-0.331667,193.194
Valencia Street Circuit,39.4589,-0.331667,196.214
Valencia Street Circuit,39.4589,-0.331667,193.802
Circuit de Spa-Francorchamps,50.4372,5.97139,232.987
Circuit de Spa-Francorchamps,50.4372,5.97139,231.182
Circuit de Spa-Francorchamps,50.4372,5.97139,233.175
Circuit de Spa-Francorchamps,50.4372,5.97139,230.820
Circuit de Spa-Francorchamps,50.4372,5.97139,231.142
Circuit de Spa-Francorchamps,50.4372,5.97139,231.399
Circuit de Spa-Francorchamps,50.4372,5.97139,231.320
Circuit de Spa-Francorchamps,50.4372,5.97139,230.236
Circuit de Spa-Francorchamps,50.4372,5.97139,228.691
Circuit de Spa-Francorchamps,50.4372,5.97139,232.985
Circuit de Spa-Francorchamps,50.4372,5.97139,228.853
Circuit de Spa-Francorchamps,50.4372,5.97139,227.862
Circuit de Spa-Francorchamps,50.4372,5.97139,228.211
Circuit de Spa-Francorchamps,50.4372,5.97139,227.218
Circuit de Spa-Francorchamps,50.4372,5.97139,227.832
Circuit de Spa-Francorchamps,50.4372,5.97139,228.095
Circuit de Spa-Francorchamps,50.4372,5.97139,225.731
Circuit de Spa-Francorchamps,50.4372,5.97139,233.618
Circuit de Spa-Francorchamps,50.4372,5.97139,224.983
Circuit de Spa-Francorchamps,50.4372,5.97139,226.915
Autodromo Nazionale di Monza,45.6156,9.28111,230.414
Autodromo Nazionale di Monza,45.6156,9.28111,230.950
Autodromo Nazionale di Monza,45.6156,9.28111,230.955
Autodromo Nazionale di Monza,45.6156,9.28111,231.820
Autodromo Nazionale di Monza,45.6156,9.28111,232.217
Autodromo Nazionale di Monza,45.6156,9.28111,232.505
Autodromo Nazionale di Monza,45.6156,9.28111,232.440
Autodromo Nazionale di Monza,45.6156,9.28111,232.544
Autodromo Nazionale di Monza,45.6156,9.28111,236.859
Autodromo Nazionale di Monza,45.6156,9.28111,229.380
Autodromo Nazionale di Monza,45.6156,9.28111,231.853
Autodromo Nazionale di Monza,45.6156,9.28111,231.167
Autodromo Nazionale di Monza,45.6156,9.28111,229.544
Autodromo Nazionale di Monza,45.6156,9.28111,231.671
Autodromo Nazionale di Monza,45.6156,9.28111,232.166
Autodromo Nazionale di Monza,45.6156,9.28111,225.557
Autodromo Nazionale di Monza,45.6156,9.28111,222.053
Autodromo Nazionale di Monza,45.6156,9.28111,233.646
Autodromo Nazionale di Monza,45.6156,9.28111,223.146
Autodromo Nazionale di Monza,45.6156,9.28111,214.326
Marina Bay Street Circuit,1.2914,103.864,172.464
Marina Bay Street Circuit,1.2914,103.864,171.352
Marina Bay Street Circuit,1.2914,103.864,171.969
Marina Bay Street Circuit,1.2914,103.864,170.408
Marina Bay Street Circuit,1.2914,103.864,170.047
Marina Bay Street Circuit,1.2914,103.864,169.992
Marina Bay Street Circuit,1.2914,103.864,169.587
Marina Bay Street Circuit,1.2914,103.864,170.022
Marina Bay Street Circuit,1.2914,103.864,168.700
Marina Bay Street Circuit,1.2914,103.864,169.943
Marina Bay Street Circuit,1.2914,103.864,170.639
Marina Bay Street Circuit,1.2914,103.864,169.181
Marina Bay Street Circuit,1.2914,103.864,172.482
Marina Bay Street Circuit,1.2914,103.864,167.195
Marina Bay Street Circuit,1.2914,103.864,172.740
Marina Bay Street Circuit,1.2914,103.864,170.523
Marina Bay Street Circuit,1.2914,103.864,166.936
Marina Bay Street Circuit,1.2914,103.864,167.069
Marina Bay Street Circuit,1.2914,103.864,165.348
Marina Bay Street Circuit,1.2914,103.864,165.154
Fuji Speedway,35.3717,138.927,207.668
Fuji Speedway,35.3717,138.927,207.168
Fuji Speedway,35.3717,138.927,207.947
Fuji Speedway,35.3717,138.927,207.411
Fuji Speedway,35.3717,138.927,206.564
Fuji Speedway,35.3717,138.927,206.322
Fuji Speedway,35.3717,138.927,209.456
Fuji Speedway,35.3717,138.927,205.798
Fuji Speedway,35.3717,138.927,206.727
Fuji Speedway,35.3717,138.927,207.246
Fuji Speedway,35.3717,138.927,206.545
Fuji Speedway,35.3717,138.927,206.470
Fuji Speedway,35.3717,138.927,203.869
Fuji Speedway,35.3717,138.927,203.178
Fuji Speedway,35.3717,138.927,204.404
Fuji Speedway,35.3717,138.927,201.365
Fuji Speedway,35.3717,138.927,207.257
Fuji Speedway,35.3717,138.927,202.327
Fuji Speedway,35.3717,138.927,204.685
Shanghai International Circuit,31.3389,121.22,203.722
Shanghai International Circuit,31.3389,121.22,203.161
Shanghai International Circuit,31.3389,121.22,203.389
Shanghai International Circuit,31.3389,121.22,203.018
Shanghai International Circuit,31.3389,121.22,203.357
Shanghai International Circuit,31.3389,121.22,202.610
Shanghai International Circuit,31.3389,121.22,202.876
Shanghai International Circuit,31.3389,121.22,202.313
Shanghai International Circuit,31.3389,121.22,201.863
Shanghai International Circuit,31.3389,121.22,200.746
Shanghai International Circuit,31.3389,121.22,200.558
Shanghai International Circuit,31.3389,121.22,200.202
Shanghai International Circuit,31.3389,121.22,201.366
Shanghai International Circuit,31.3389,121.22,200.896
Shanghai International Circuit,31.3389,121.22,201.793
Shanghai International Circuit,31.3389,121.22,200.705
Shanghai International Circuit,31.3389,121.22,199.483
Shanghai International Circuit,31.3389,121.22,201.677
Shanghai International Circuit,31.3389,121.22,196.860
Shanghai International Circuit,31.3389,121.22,122.945
Autódromo José Carlos Pace,-23.7036,-46.6997,210.377
Autódromo José Carlos Pace,-23.7036,-46.6997,208.980
Autódromo José Carlos Pace,-23.7036,-46.6997,209.296
Autódromo José Carlos Pace,-23.7036,-46.6997,209.022
Autódromo José Carlos Pace,-23.7036,-46.6997,209.177
Autódromo José Carlos Pace,-23.7036,-46.6997,209.465
